TBENCH_CLIENT_THREADS = 1
TBENCH_SERVER = 147.46.242.201
TBENCH_SERVER_PORT = 7313
TBENCH_MINSLEEPNS = 0
TBENCH_RANDSEED = 0
TBENCH_QPS = 1000
queue times, service times, sojorn times
latencies: 6.28328, 4.35332, 10.6366
latencies: 10.3535, 0.867368, 11.2208
latencies: 8.2439, 3.49213, 11.736
latencies: 9.83886, 0.662694, 10.5015
latencies: 11.222, 1.43297, 12.655
latencies: 8.93854, 0.953481, 9.89202
latencies: 8.93163, 1.35432, 10.2859
latencies: 9.55701, 2.45641, 12.0134
latencies: 9.98628, 1.20196, 11.1882
latencies: 10.3518, 1.17844, 11.5302
latencies: 8.6539, 0.745799, 9.3997
latencies: 9.28512, 0.923273, 10.2084
latencies: 9.14924, 3.82397, 12.9732
latencies: 9.90094, 1.75243, 11.6534
latencies: 14.9265, 1.35973, 16.2862
latencies: 12.3423, 0.866696, 13.209
latencies: 11.3686, 2.80358, 14.1722
latencies: 9.89712, 1.21825, 11.1154
latencies: 8.17382, 0.845512, 9.01933
latencies: 9.51272, 1.14206, 10.6548
latencies: 7.12644, 0.965545, 8.09198
latencies: 7.177, 1.54997, 8.72697
latencies: 7.37875, 3.13952, 10.5183
latencies: 8.44898, 1.58622, 10.0352
latencies: 8.86006, 0.941321, 9.80138
latencies: 8.48373, 1.07899, 9.56272
latencies: 9.64505, 2.4173, 12.0624
latencies: 9.60814, 1.90171, 11.5099
latencies: 10.5358, 1.51457, 12.0504
latencies: 11.0841, 4.34327, 15.4274
latencies: 14.8402, 0.896488, 15.7366
latencies: 11.5475, 4.67768, 16.2251
latencies: 11.6123, 0.730695, 12.343
latencies: 15.3876, 0.946121, 16.3337
latencies: 11.3188, 0.711719, 12.0305
latencies: 7.8744, 0.771752, 8.64615
latencies: 8.84192, 1.83003, 10.672
latencies: 7.99879, 0.901896, 8.90068
latencies: 7.64235, 2.735, 10.3774
latencies: 8.62892, 1.61237, 10.2413
latencies: 9.59554, 0.730342, 10.3259
latencies: 9.8228, 1.24712, 11.0699
latencies: 7.07289, 1.73934, 8.81223
latencies: 4.93019, 3.2936, 8.22379
latencies: 4.64939, 1.8899, 6.53929
latencies: 6.03087, 0.775048, 6.80591
latencies: 6.1519, 1.29166, 7.44356
latencies: 4.79718, 1.01601, 5.81319
latencies: 5.16691, 1.21739, 6.3843
latencies: 3.94786, 0.769383, 4.71725
latencies: 5.01375, 2.31717, 7.33093
latencies: 4.23133, 0.921097, 5.15243
latencies: 4.36844, 1.33355, 5.70199
latencies: 4.10754, 0.949257, 5.0568
latencies: 4.06344, 1.01812, 5.08156
latencies: 4.80469, 1.29796, 6.10265
latencies: 4.10394, 2.04239, 6.14632
latencies: 4.9996, 1.40942, 6.40902
latencies: 5.40458, 1.34516, 6.74974
latencies: 5.36717, 1.30017, 6.66734
latencies: 5.64273, 3.11526, 8.75799
latencies: 3.97325, 2.14447, 6.11772
latencies: 3.31082, 1.29115, 4.60196
latencies: 4.20633, 0.827208, 5.03354
latencies: 3.92327, 1.66424, 5.58751
latencies: 5.55748, 1.18007, 6.73756
latencies: 4.62202, 2.90508, 7.5271
latencies: 5.848, 0.963913, 6.81192
latencies: 6.00042, 4.53921, 10.5396
latencies: 4.86433, 0.856072, 5.7204
latencies: 5.93043, 4.55041, 10.4808
latencies: 4.82319, 0.853224, 5.67642
latencies: 5.33537, 2.71107, 8.04643
latencies: 5.22889, 0.919496, 6.14839
latencies: 5.19175, 4.39419, 9.58594
latencies: 6.36654, 0.791848, 7.15839
latencies: 5.58675, 1.11435, 6.7011
latencies: 5.69689, 3.73335, 9.43024
latencies: 5.11498, 2.95161, 8.0666
latencies: 5.12757, 2.81289, 7.94046
latencies: 7.19007, 1.8109, 9.00097
latencies: 7.63042, 1.27134, 8.90176
latencies: 7.68601, 3.26678, 10.9528
latencies: 7.88835, 0.978921, 8.86727
latencies: 7.88997, 2.27791, 10.1679
latencies: 7.97128, 2.51465, 10.4859
latencies: 9.84698, 1.14481, 10.9918
latencies: 7.10824, 0.970889, 8.07913
latencies: 9.63764, 2.27618, 11.9138
latencies: 7.84681, 1.14212, 8.98893
latencies: 7.92813, 3.00502, 10.9332
latencies: 8.20678, 3.34048, 11.5473
latencies: 8.00096, 2.91504, 10.916
latencies: 9.84662, 2.0149, 11.8615
latencies: 8.53791, 0.694086, 9.232
latencies: 9.17063, 0.924361, 10.095
latencies: 7.22061, 4.63342, 11.854
latencies: 8.56969, 1.89106, 10.4607
latencies: 9.6424, 0.679014, 10.3214
latencies: 10.1054, 0.991178, 11.0966
latencies: 11.0237, 0.773223, 11.797
latencies: 9.89196, 3.29475, 13.1867
latencies: 10.9377, 1.14152, 12.0792
latencies: 10.5999, 3.68477, 14.2847
latencies: 11.255, 2.37836, 13.6333
latencies: 7.21126, 1.54398, 8.75524
latencies: 8.15024, 0.775367, 8.92561
latencies: 8.42144, 1.00055, 9.42199
latencies: 8.31451, 1.93659, 10.2511
latencies: 4.96485, 2.05147, 7.01633
latencies: 6.19971, 1.76427, 7.96399
latencies: 8.57616, 1.64946, 10.2256
latencies: 8.06726, 0.679334, 8.74659
latencies: 6.67849, 2.50713, 9.18561
latencies: 5.1565, 1.60686, 6.76336
latencies: 5.71472, 1.04075, 6.75547
latencies: 5.4047, 0.84164, 6.24634
latencies: 6.13192, 1.04526, 7.17718
latencies: 6.22418, 2.70866, 8.93284
latencies: 7.03472, 2.52687, 9.5616
latencies: 8.7655, 2.12703, 10.8925
latencies: 8.93472, 1.75259, 10.6873
latencies: 9.60525, 1.00103, 10.6063
latencies: 9.87732, 1.68533, 11.5627
latencies: 10.4399, 0.82164, 11.2615
latencies: 10.4672, 1.36625, 11.8335
latencies: 10.2278, 1.58021, 11.808
latencies: 10.7558, 1.00839, 11.7642
latencies: 11.2947, 0.619366, 11.9141
latencies: 8.95499, 1.52389, 10.4789
latencies: 6.83857, 2.44268, 9.28125
latencies: 7.6292, 3.25481, 10.884
latencies: 7.52422, 3.33856, 10.8628
latencies: 8.38224, 1.60814, 9.99038
latencies: 9.11349, 0.681574, 9.79507
latencies: 7.65804, 1.42475, 9.08279
latencies: 7.10912, 0.974409, 8.08353
latencies: 7.49607, 0.876328, 8.3724
latencies: 7.62088, 1.31992, 8.94079
latencies: 7.66054, 1.12743, 8.78798
latencies: 7.29027, 0.695142, 7.98541
latencies: 7.46968, 2.78063, 10.2503
latencies: 18.2887, 2.74329, 21.032
latencies: 16.0905, 5.00865, 21.0992
latencies: 19.638, 1.36661, 21.0046
latencies: 17.9769, 1.4531, 19.43
latencies: 18.0108, 1.09556, 19.1064
latencies: 17.1038, 1.75486, 18.8587
latencies: 15.3857, 2.76908, 18.1548
latencies: 16.437, 1.2508, 17.6878
latencies: 14.3438, 3.46746, 17.8113
latencies: 14.4384, 1.73426, 16.1726
latencies: 15.2143, 4.41428, 19.6286
latencies: 15.0886, 3.0646, 18.1532
latencies: 16.4683, 1.48702, 17.9554
latencies: 16.6981, 2.14348, 18.8415
latencies: 17.9448, 2.89747, 20.8422
latencies: 18.9151, 1.34033, 20.2554
latencies: 19.3402, 1.72254, 21.0627
latencies: 19.8219, 1.03623, 20.8581
latencies: 18.5691, 1.72434, 20.2934
latencies: 18.8609, 2.16869, 21.0296
latencies: 19.2265, 1.17086, 20.3973
latencies: 20.0832, 1.62261, 21.7058
latencies: 19.1864, 1.29556, 20.482
latencies: 20.2928, 1.07383, 21.3667
latencies: 19.1529, 3.46355, 22.6164
latencies: 19.9766, 1.18251, 21.1591
latencies: 21.2535, 0.724039, 21.9775
latencies: 21.2133, 3.1535, 24.3668
latencies: 17.3467, 0.791048, 18.1378
latencies: 19.3834, 3.83325, 23.2167
latencies: 17.924, 4.68324, 22.6073
latencies: 20.2983, 2.12885, 22.4271
latencies: 18.024, 1.06398, 19.088
latencies: 18.14, 1.56865, 19.7086
latencies: 22.0738, 2.92867, 25.0024
latencies: 16.9334, 2.23948, 19.1729
latencies: 17.1518, 0.570885, 17.7227
latencies: 17.6254, 0.99169, 18.6171
latencies: 15.4732, 3.98173, 19.455
latencies: 18.2343, 1.61346, 19.8478
latencies: 17.9786, 2.27228, 20.2509
latencies: 18.1508, 2.17007, 20.3209
latencies: 17.5344, 2.21957, 19.7539
latencies: 17.2561, 0.865353, 18.1215
latencies: 17.362, 1.32072, 18.6827
latencies: 16.8535, 4.20151, 21.055
latencies: 17.616, 1.56478, 19.1808
latencies: 17.1257, 0.780167, 17.9058
latencies: 17.9208, 3.27481, 21.1957
latencies: 17.5621, 2.04271, 19.6048
latencies: 18.7832, 0.819816, 19.603
latencies: 19.2688, 1.23863, 20.5074
latencies: 19.264, 0.792904, 20.0569
latencies: 19.4027, 2.51263, 21.9153
latencies: 19.171, 1.0723, 20.2433
latencies: 20.3027, 1.72622, 22.0289
latencies: 18.8212, 4.93854, 23.7597
latencies: 20.8946, 0.87796, 21.7725
latencies: 15.6588, 1.32689, 16.9857
latencies: 15.4141, 1.26148, 16.6756
latencies: 16.1426, 1.94213, 18.0847
latencies: 16.9661, 0.84788, 17.814
latencies: 16.1073, 5.05595, 21.1632
latencies: 18.682, 2.02597, 20.708
latencies: 17.5079, 5.01077, 22.5187
latencies: 18.9683, 1.63445, 20.6028
latencies: 20.2219, 1.49265, 21.7145
latencies: 20.5786, 3.47706, 24.0556
latencies: 21.2841, 2.79913, 24.0832
latencies: 21.0808, 1.13006, 22.2109
latencies: 21.5397, 0.682854, 22.2225
latencies: 20.7589, 4.68542, 25.4443
latencies: 19.4752, 0.84564, 20.3209
latencies: 22.0517, 1.18257, 23.2343
latencies: 19.6441, 1.03361, 20.6777
latencies: 19.0526, 1.00964, 20.0622
latencies: 17.5301, 1.05652, 18.5867
latencies: 19.8392, 1.30881, 21.148
latencies: 18.5779, 1.24084, 19.8187
latencies: 16.4222, 2.91564, 19.3378
latencies: 18.4256, 0.89924, 19.3248
latencies: 18.7795, 1.22568, 20.0052
latencies: 16.6916, 4.1953, 20.8869
latencies: 15.8472, 1.16919, 17.0164
latencies: 16.2035, 1.73314, 17.9366
latencies: 16.8771, 3.87306, 20.7502
latencies: 17.1503, 0.926729, 18.077
latencies: 17.6854, 1.53707, 19.2225
latencies: 18.4778, 1.21944, 19.6973
latencies: 16.9603, 3.51226, 20.4725
latencies: 19.6232, 1.04017, 20.6634
latencies: 18.847, 1.22619, 20.0732
latencies: 19.5279, 2.26261, 21.7905
latencies: 19.4491, 2.07931, 21.5284
latencies: 18.1091, 2.85846, 20.9676
latencies: 19.3108, 1.56811, 20.8789
latencies: 18.5587, 0.998601, 19.5573
latencies: 18.2516, 0.83236, 19.0839
latencies: 19.3935, 2.36133, 21.7549
latencies: 16.6942, 1.03764, 17.7319
latencies: 16.3819, 1.4755, 17.8574
latencies: 17.3142, 0.669734, 17.9839
latencies: 17.6834, 0.68455, 18.3679
latencies: 17.2693, 2.08252, 19.3519
latencies: 17.436, 1.21512, 18.6512
latencies: 17.7975, 0.69287, 18.4904
latencies: 15.674, 1.18036, 16.8544
latencies: 16.8379, 2.47257, 19.3104
latencies: 17.6356, 2.87939, 20.515
latencies: 16.6686, 4.02717, 20.6958
latencies: 20.5325, 0.808648, 21.3412
latencies: 17.1639, 1.0194, 18.1833
latencies: 16.897, 1.29668, 18.1936
latencies: 17.0371, 1.50686, 18.544
latencies: 16.1512, 0.772999, 16.9242
latencies: 16.7649, 0.841096, 17.606
latencies: 16.3918, 0.914537, 17.3064
latencies: 16.1358, 0.591142, 16.727
latencies: 17.1077, 0.955433, 18.0631
latencies: 15.6693, 0.695078, 16.3644
latencies: 15.9376, 2.05144, 17.989
latencies: 14.2542, 0.753607, 15.0078
latencies: 16.1723, 2.90761, 19.0799
latencies: 14.4074, 1.17851, 15.5859
latencies: 15.3361, 0.711846, 16.048
latencies: 15.4839, 1.15828, 16.6422
latencies: 15.1845, 0.952169, 16.1367
latencies: 15.9697, 2.08309, 18.0528
latencies: 15.0321, 1.64958, 16.6817
latencies: 10.4887, 0.955241, 11.4439
latencies: 15.2275, 2.12015, 17.3476
latencies: 11.2666, 1.07665, 12.3432
latencies: 11.3536, 1.36129, 12.7149
latencies: 12.2095, 0.471205, 12.6808
latencies: 11.4939, 1.59688, 13.0907
latencies: 11.3417, 1.54309, 12.8848
latencies: 12.2711, 1.11931, 13.3904
latencies: 12.4422, 0.996713, 13.4389
latencies: 12.6002, 1.93797, 14.5382
latencies: 10.6728, 2.59612, 13.2689
latencies: 9.55831, 1.88114, 11.4394
latencies: 8.27154, 1.60389, 9.87543
latencies: 7.14534, 1.23032, 8.37565
latencies: 4.59057, 3.16089, 7.75147
latencies: 3.12983, 2.70236, 5.83219
latencies: 4.99611, 1.54094, 6.53705
latencies: 5.45103, 1.67557, 7.1266
latencies: 5.90078, 0.864328, 6.76511
latencies: 6.15508, 2.23119, 8.38627
latencies: 4.10506, 0.863304, 4.96836
latencies: 0.677474, 1.27156, 1.94904
latencies: 2.99354, 3.00572, 5.99926
latencies: 1.41724, 1.64987, 3.06711
latencies: 2.91799, 0.721415, 3.63941
latencies: 0.651268, 3.54112, 4.19239
latencies: 0.983447, 1.09963, 2.08307
latencies: 2.8236, 2.74758, 5.57118
latencies: 1.1783, 2.93254, 4.11084
latencies: 2.96236, 1.02417, 3.98653
latencies: 3.52167, 0.63959, 4.16126
latencies: 1.78178, 3.85053, 5.63232
latencies: 3.60054, 1.08804, 4.68859
latencies: 3.21566, 1.67096, 4.88662
latencies: 3.70459, 1.27553, 4.98012
latencies: 2.79217, 1.70373, 4.49589
latencies: 3.2544, 3.53882, 6.79322
latencies: 4.57263, 1.8516, 6.42423
latencies: 5.86398, 0.732999, 6.59698
latencies: 4.49955, 4.42094, 8.92049
latencies: 5.06737, 1.86287, 6.93024
latencies: 5.35031, 2.73414, 8.08445
latencies: 5.00237, 1.96764, 6.97001
latencies: 4.89963, 1.44363, 6.34326
latencies: 5.48284, 2.78009, 8.26293
latencies: 6.21664, 1.80968, 8.02632
latencies: 5.65149, 4.13789, 9.78938
latencies: 7.9875, 1.06532, 9.05282
latencies: 7.83734, 1.18462, 9.02196
latencies: 8.64014, 1.13524, 9.77538
latencies: 8.59746, 1.01703, 9.6145
latencies: 9.63277, 0.703718, 10.3365
latencies: 5.79265, 3.10317, 8.89581
latencies: 5.54873, 3.67191, 9.22064
latencies: 7.67501, 2.00869, 9.6837
latencies: 8.50891, 1.60952, 10.1184
latencies: 8.84599, 1.20334, 10.0493
latencies: 6.69493, 0.888265, 7.58319
latencies: 8.83593, 1.85995, 10.6959
latencies: 7.07159, 2.02143, 9.09302
latencies: 8.64934, 0.691814, 9.34115
latencies: 7.23586, 2.96982, 10.2057
latencies: 7.68527, 1.32424, 9.00951
latencies: 5.2543, 1.39841, 6.65271
latencies: 3.53646, 0.849896, 4.38636
latencies: 4.09515, 0.881, 4.97615
latencies: 4.50137, 0.757415, 5.25878
latencies: 4.21745, 1.43157, 5.64902
latencies: 4.69764, 1.40837, 6.106
latencies: 4.44067, 1.67499, 6.11566
latencies: 6.12997, 1.09284, 7.22281
latencies: 5.24467, 1.3724, 6.61707
latencies: 6.34103, 1.01905, 7.36008
latencies: 5.58401, 2.25541, 7.83942
latencies: 6.80155, 2.62822, 9.42976
latencies: 5.79986, 5.1491, 10.949
latencies: 9.0978, 0.766024, 9.86383
latencies: 9.67846, 1.15816, 10.8366
latencies: 9.30318, 4.62052, 13.9237
latencies: 8.94626, 1.34123, 10.2875
latencies: 12.471, 3.53418, 16.0052
latencies: 12.7851, 0.724391, 13.5095
latencies: 13.4217, 2.32604, 15.7478
latencies: 11.76, 0.787911, 12.5479
latencies: 11.5439, 0.744199, 12.2881
latencies: 9.92404, 2.67471, 12.5988
latencies: 10.9039, 1.21387, 12.1178
latencies: 10.6452, 2.42335, 13.0685
latencies: 11.0688, 2.26713, 13.336
latencies: 11.3368, 2.40341, 13.7402
latencies: 11.2355, 0.548133, 11.7836
latencies: 11.6111, 1.09716, 12.7083
latencies: 12.0073, 3.44608, 15.4534
latencies: 12.5587, 0.677286, 13.236
latencies: 12.424, 2.88956, 15.3136
latencies: 11.9503, 2.8582, 14.8085
latencies: 14.0517, 1.14267, 15.1943
latencies: 15.1189, 1.11207, 16.231
latencies: 14.5242, 2.10444, 16.6286
latencies: 13.5604, 1.11838, 14.6788
latencies: 14.5195, 0.806088, 15.3256
latencies: 14.1929, 2.61379, 16.8067
latencies: 12.2868, 2.09365, 14.3804
latencies: 12.4396, 2.59446, 15.0341
latencies: 12.2555, 0.744423, 12.9999
latencies: 12.2198, 0.89604, 13.1158
latencies: 11.4336, 1.76398, 13.1976
latencies: 14.0352, 4.31287, 18.348
latencies: 13.2301, 0.799336, 14.0294
latencies: 10.9172, 0.718439, 11.6357
latencies: 9.67675, 0.957385, 10.6341
latencies: 11.1906, 3.45139, 14.642
latencies: 9.78527, 1.33345, 11.1187
latencies: 10.6558, 2.45225, 13.1081
latencies: 9.71518, 0.970249, 10.6854
latencies: 10.234, 1.74674, 11.9808
latencies: 11.204, 2.76863, 13.9726
latencies: 10.7405, 4.55105, 15.2915
latencies: 13.5229, 1.8492, 15.3721
latencies: 10.8246, 0.855624, 11.6802
latencies: 9.28448, 0.92068, 10.2052
latencies: 10.2123, 1.50609, 11.7184
latencies: 9.8557, 0.907177, 10.7629
latencies: 9.76447, 1.47921, 11.2437
latencies: 9.97195, 1.51102, 11.483
latencies: 10.895, 0.790184, 11.6852
latencies: 10.3706, 1.5917, 11.9623
latencies: 11.2118, 1.55713, 12.7689
latencies: 10.8046, 2.57871, 13.3833
latencies: 11.1879, 2.76137, 13.9492
latencies: 11.0353, 3.58679, 14.6221
latencies: 13.2954, 0.855784, 14.1512
latencies: 12.1112, 3.69523, 15.8064
latencies: 13.9497, 1.20315, 15.1529
latencies: 13.2985, 0.78516, 14.0836
latencies: 13.4919, 1.52213, 15.014
latencies: 14.004, 1.52158, 15.5256
latencies: 13.4914, 1.56997, 15.0614
latencies: 10.9607, 0.936905, 11.8976
latencies: 10.1956, 1.28936, 11.485
latencies: 11.2771, 0.620005, 11.8971
latencies: 10.7832, 5.56668, 16.3499
latencies: 13.4116, 0.887784, 14.2994
latencies: 10.4348, 4.48503, 14.9199
latencies: 14.1678, 1.14407, 15.3119
latencies: 13.2608, 1.20052, 14.4613
latencies: 13.4234, 1.63601, 15.0594
latencies: 12.3812, 3.05641, 15.4376
latencies: 14.4041, 0.588358, 14.9925
latencies: 13.6235, 3.3464, 16.9699
latencies: 14.9263, 1.42008, 16.3464
latencies: 14.3012, 0.787271, 15.0885
latencies: 15.0217, 0.961225, 15.9829
latencies: 14.3623, 2.60031, 16.9626
latencies: 15.2222, 0.828296, 16.0505
latencies: 13.5631, 1.91631, 15.4794
latencies: 14.415, 1.06702, 15.482
latencies: 14.8823, 0.996713, 15.8791
latencies: 13.2407, 4.21969, 17.4604
latencies: 14.935, 0.58071, 15.5157
latencies: 14.7739, 1.67019, 16.4441
latencies: 13.2405, 3.05104, 16.2915
latencies: 13.5853, 0.871624, 14.4569
latencies: 13.6588, 0.86868, 14.5275
latencies: 13.3329, 4.72571, 18.0586
latencies: 14.0091, 0.986121, 14.9952
latencies: 13.2821, 1.18788, 14.47
latencies: 14.3032, 0.809256, 15.1124
latencies: 13.4128, 3.00672, 16.4195
latencies: 13.9029, 0.796808, 14.6998
latencies: 14.2119, 0.736871, 14.9488
latencies: 13.4338, 1.76213, 15.1959
latencies: 11.5372, 0.757415, 12.2946
latencies: 12.0572, 1.90805, 13.9653
latencies: 14.9045, 3.56519, 18.4697
latencies: 12.3248, 0.745735, 13.0705
latencies: 13.6134, 2.43852, 16.052
latencies: 12.8183, 4.00983, 16.8281
latencies: 13.6673, 4.06679, 17.7341
latencies: 16.3245, 0.917609, 17.2421
latencies: 15.3772, 2.79369, 18.1709
latencies: 34.5096, 1.29115, 35.8007
latencies: 33.4179, 2.45785, 35.8758
latencies: 30.5866, 4.31153, 34.8982
latencies: 32.7867, 0.764104, 33.5508
latencies: 28.9792, 5.11611, 34.0954
latencies: 30.8318, 1.72674, 32.5586
latencies: 28.7461, 2.34402, 31.0901
latencies: 26.4736, 4.90379, 31.3774
latencies: 27.2243, 2.09567, 29.32
latencies: 27.4932, 0.793352, 28.2866
latencies: 26.0475, 0.936105, 26.9836
latencies: 21.7965, 1.43035, 23.2268
latencies: 23.7021, 2.88383, 26.5859
latencies: 21.2377, 1.10187, 22.3396
latencies: 21.5322, 0.784807, 22.317
latencies: 20.4148, 1.10023, 21.515
latencies: 20.1338, 1.04404, 21.1778
latencies: 19.6033, 1.31061, 20.9139
latencies: 20.0042, 1.08932, 21.0935
latencies: 20.6015, 1.32052, 21.922
latencies: 20.0171, 0.622054, 20.6391
latencies: 19.7376, 2.63986, 22.3775
latencies: 20.578, 1.27169, 21.8497
latencies: 20.7848, 0.853704, 21.6385
latencies: 20.5723, 0.738279, 21.3106
latencies: 21.2032, 1.91102, 23.1142
latencies: 20.5317, 0.698855, 21.2306
latencies: 20.1098, 1.69333, 21.8031
latencies: 20.2169, 2.64508, 22.862
latencies: 21.5077, 2.75743, 24.2651
latencies: 19.9611, 4.3363, 24.2974
latencies: 21.8691, 1.06439, 22.9335
latencies: 21.9449, 4.12311, 26.068
latencies: 23.9536, 0.906568, 24.8602
latencies: 22.9255, 3.82621, 26.7517
latencies: 22.7683, 1.934, 24.7023
latencies: 24.68, 1.25915, 25.9391
latencies: 22.3158, 2.68051, 24.9963
latencies: 22.2059, 4.16858, 26.3745
latencies: 21.7272, 4.0881, 25.8153
latencies: 20.0456, 1.39662, 21.4422
latencies: 21.2411, 1.11396, 22.3551
latencies: 19.0565, 4.10493, 23.1614
latencies: 21.6068, 0.776903, 22.3837
latencies: 22.1058, 1.55, 23.6557
latencies: 21.0794, 1.02538, 22.1048
latencies: 21.6034, 1.21054, 22.814
latencies: 21.6035, 4.93038, 26.5339
latencies: 21.3345, 0.891432, 22.226
latencies: 22.2701, 3.74909, 26.0191
latencies: 21.1709, 3.58215, 24.753
latencies: 23.0743, 2.49606, 25.5703
latencies: 23.4035, 1.3755, 24.779
latencies: 23.6588, 2.14463, 25.8034
latencies: 22.3366, 2.79471, 25.1313
latencies: 22.7658, 0.893865, 23.6596
latencies: 20.2606, 0.715271, 20.9759
latencies: 20.3837, 0.928265, 21.312
latencies: 21.872, 2.71612, 24.5881
latencies: 21.0596, 0.515525, 21.5751
latencies: 20.6639, 2.4254, 23.0893
latencies: 22.0022, 1.26913, 23.2713
latencies: 20.4082, 2.05877, 22.4669
latencies: 21.581, 4.50487, 26.0858
latencies: 20.7285, 1.01399, 21.7425
latencies: 21.5926, 3.03635, 24.629
latencies: 20.9075, 4.70244, 25.6099
latencies: 20.8468, 1.97477, 22.8215
latencies: 21.8006, 3.95361, 25.7542
latencies: 22.1668, 4.53671, 26.7035
latencies: 26.2136, 0.753031, 26.9666
latencies: 23.7387, 3.75597, 27.4947
latencies: 26.5469, 0.748071, 27.295
latencies: 26.5145, 3.30387, 29.8184
latencies: 27.0794, 4.96529, 32.0447
latencies: 28.4629, 1.18484, 29.6477
latencies: 26.767, 3.63203, 30.399
latencies: 28.9632, 1.01079, 29.974
latencies: 29.1407, 1.45736, 30.598
latencies: 28.7469, 3.5335, 32.2804
latencies: 30.2079, 1.38913, 31.5971
latencies: 29.5439, 0.709862, 30.2538
latencies: 29.0626, 0.732359, 29.7949
latencies: 30.1481, 1.61474, 31.7628
latencies: 29.5971, 2.46674, 32.0638
latencies: 30.2189, 3.11388, 33.3328
latencies: 30.1919, 1.53627, 31.7282
latencies: 30.8678, 0.877609, 31.7455
latencies: 31.4575, 1.13723, 32.5947
latencies: 31.3457, 1.06401, 32.4097
latencies: 30.7968, 1.09595, 31.8928
latencies: 31.8028, 0.785287, 32.5881
latencies: 29.4984, 1.09579, 30.5942
latencies: 29.1861, 1.03921, 30.2253
latencies: 25.9106, 3.07356, 28.9842
latencies: 26.7269, 0.732967, 27.4599
latencies: 26.1086, 3.78714, 29.8958
latencies: 22.9796, 3.19974, 26.1794
latencies: 24.0888, 1.00382, 25.0926
latencies: 24.462, 5.58245, 30.0445
latencies: 25.0663, 1.15851, 26.2248
latencies: 24.8943, 0.941544, 25.8358
latencies: 25.1016, 0.954249, 26.0559
latencies: 25.1658, 0.798568, 25.9643
latencies: 25.5407, 4.28058, 29.8213
latencies: 25.5181, 1.56818, 27.0863
latencies: 26.6292, 2.46642, 29.0956
latencies: 27.2953, 4.28986, 31.5851
latencies: 27.9602, 4.54379, 32.504
latencies: 26.723, 4.09041, 30.8134
latencies: 28.2602, 1.83717, 30.0974
latencies: 28.7179, 0.994698, 29.7126
latencies: 27.6296, 1.1042, 28.7338
latencies: 26.9774, 1.24177, 28.2192
latencies: 26.0603, 2.1798, 28.2401
latencies: 26.7627, 3.50691, 30.2696
latencies: 27.5499, 1.84271, 29.3926
latencies: 27.0105, 2.95936, 29.9699
latencies: 27.2373, 3.33968, 30.5769
